row_id,spell_id,spell_name,type,class,current_category,proposed_category,specs,applications,players,context,confidence,proposal_key,decision,decision_notes
R0169,391459,Sanguine Ground,addition,DEATHKNIGHT,,activeMitigation,Blood 35105/74,35105,74,"only tank specs apply it, 100% self-applied, recast about 6.79s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|sanguine ground|391459,Rejected,
R0170,463730,Coagulating Blood,addition,DEATHKNIGHT,,activeMitigation,Blood 30689/74,30689,74,"only tank specs apply it, 100% self-applied, recast about 14.42s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|coagulating blood|463730,Rejected,
R0172,273947,Hemostasis,addition,DEATHKNIGHT,,activeMitigation,Blood 28903/74,28903,74,"only tank specs apply it, 100% self-applied, recast about 10.33s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|hemostasis|273947,Rejected,
R0174,1264304,Lifeblood,addition,DEATHKNIGHT,,activeMitigation,Blood 16501/21,16501,21,"only tank specs apply it, 100% self-applied, recast about 11.5s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|lifeblood|1264304,Rejected,
R0176,1265968,Boiling Point,addition,DEATHKNIGHT,,activeMitigation,Blood 13300/71,13300,71,"only tank specs apply it, 100% self-applied, recast about 19.12s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|boiling point|1265968,Rejected,
R0177,1265982,Boiling Point,addition,DEATHKNIGHT,,activeMitigation,Blood 12380/71,12380,71,"only tank specs apply it, 100% self-applied, recast about 20.33s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|boiling point|1265982,Rejected,
R0179,274009,Voracious,addition,DEATHKNIGHT,,activeMitigation,Blood 11216/74,11216,74,"only tank specs apply it, 100% self-applied, recast about 21.76s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|voracious|274009,Rejected,
R0195,461130,Visceral Strength,addition,DEATHKNIGHT,,activeMitigation,Blood 1742/43,1742,43,"only tank specs apply it, 100% self-applied, recast about 29.32s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEATHKNIGHT|visceral strength|461130,Rejected,
R0191,203981,Soul Fragments,addition,DEMONHUNTER,,activeMitigation,Vengeance 3673/30,3673,30,"only tank specs apply it, 100% self-applied, recast about 7.33s → Active mitigation (rule R7).",medium,addition|activeMitigation|DEMONHUNTER|soul fragments|203981,Rejected,
R0185,213708,Galactic Guardian,addition,DRUID,,activeMitigation,Guardian 6122/48,6122,48,"only tank specs apply it, 100% self-applied, recast about 7.56s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|galactic guardian|213708,Rejected,
R0187,93622,Gore,addition,DRUID,,activeMitigation,Guardian 5320/51,5320,51,"only tank specs apply it, 100% self-applied, recast about 8.25s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|gore|93622,Rejected,
R0196,1251877,Gift of an Ancient Guardian,addition,DRUID,,activeMitigation,Guardian 1451/43,1451,43,"only tank specs apply it, 100% self-applied, recast about 18.44s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|gift of an ancient guardian|1251877,Rejected,
R0197,1272376,Celestial Might,addition,DRUID,,activeMitigation,Guardian 1018/23,1018,23,"only tank specs apply it, 100% self-applied, recast about 13.08s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|celestial might|1272376,Rejected,
R0200,1301286,Gorestained Claws,addition,DRUID,,activeMitigation,Guardian 558/12,558,12,"only tank specs apply it, 100% self-applied, recast about 21.89s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|gorestained claws|1301286,Rejected,
R0201,441602,Ravage,addition,DRUID,,activeMitigation,Guardian 510/7,510,7,"only tank specs apply it, 100% self-applied, recast about 14.9s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|ravage|441602,Rejected,
R0203,1307881,Gory Fur,addition,DRUID,,activeMitigation,Guardian 225/5,225,5,"only tank specs apply it, 100% self-applied, recast about 21.6s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|gory fur|1307881,Rejected,
R0205,400734,After the Wildfire,addition,DRUID,,activeMitigation,Guardian 32/17,32,17,"only tank specs apply it, 100% self-applied, recast about 6.08s → Active mitigation (rule R7).",medium,addition|activeMitigation|DRUID|after the wildfire|400734,Rejected,
R0173,195630,Elusive Brawler,addition,MONK,,activeMitigation,Brewmaster 18357/44,18357,44,"only tank specs apply it, 100% self-applied, recast about 1.61s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|elusive brawler|195630,Rejected,
R0184,228563,Blackout Combo,addition,MONK,,activeMitigation,Brewmaster 6511/44,6511,44,"only tank specs apply it, 100% self-applied, recast about 7.16s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|blackout combo|228563,Rejected,
R0188,383800,Counterstrike,addition,MONK,,activeMitigation,Brewmaster 4936/36,4936,36,"only tank specs apply it, 100% self-applied, recast about 7s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|counterstrike|383800,Rejected,
R0190,1260619,Elevated Stagger,addition,MONK,,activeMitigation,Brewmaster 3715/44,3715,44,"only tank specs apply it, 100% self-applied, recast about 11.47s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|elevated stagger|1260619,Rejected,
R0192,393515,Pretense of Instability,addition,MONK,,activeMitigation,Brewmaster 3191/44,3191,44,"only tank specs apply it, 100% self-applied, recast about 14.28s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|pretense of instability|393515,Rejected,
R0194,1265307,Empty Barrel,addition,MONK,,activeMitigation,Brewmaster 1848/40,1848,40,"only tank specs apply it, 100% self-applied, recast about 26.77s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|empty barrel|1265307,Rejected,
R0198,1301477,Hot Potato,addition,MONK,,activeMitigation,Brewmaster 625/4,625,4,"only tank specs apply it, 100% self-applied, recast about 6.68s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|hot potato|1301477,Rejected,
R0199,1241109,Niuzao's Resolve,addition,MONK,,activeMitigation,Brewmaster 582/15,582,15,"only tank specs apply it, 100% self-applied, recast about 23.33s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|niuzao's resolve|1241109,Rejected,
R0202,116847,Rushing Jade Wind,addition,MONK,,activeMitigation,Brewmaster 463/3,463,3,"only tank specs apply it, 100% self-applied, recast about 6.88s → Active mitigation (rule R7).",medium,addition|activeMitigation|MONK|rushing jade wind|116847,Approved,
R0171,393038,Strength in Adversity,addition,PALADIN,,activeMitigation,Protection 29412/67,29412,67,"only tank specs apply it, 100% self-applied, recast about 5s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|strength in adversity|393038,Rejected,
R0175,386652,Bulwark of Righteous Fury,addition,PALADIN,,activeMitigation,Protection 16215/69,16215,69,"only tank specs apply it, 100% self-applied, recast about 8.75s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|bulwark of righteous fury|386652,Rejected,
R0178,85416,Grand Crusader,addition,PALADIN,,activeMitigation,Protection 11339/74,11339,74,"only tank specs apply it, 100% self-applied, recast about 11.89s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|grand crusader|85416,Rejected,
R0180,182104,Shining Light,addition,PALADIN,,activeMitigation,Protection 11186/74,11186,74,"only tank specs apply it, 100% self-applied, recast about 14.42s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|shining light|182104,Rejected,
R0181,1269179,Valor,addition,PALADIN,,activeMitigation,Protection 7670/69,7670,69,"only tank specs apply it, 100% self-applied, recast about 13.64s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|valor|1269179,Rejected,
R0182,1272298,Light-Blessed Shield,addition,PALADIN,,activeMitigation,Protection 7300/38,7300,38,"only tank specs apply it, 100% self-applied, recast about 6.15s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|light-blessed shield|1272298,Rejected,
R0183,280375,Redoubt,addition,PALADIN,,activeMitigation,Protection 6610/32,6610,32,"only tank specs apply it, 100% self-applied, recast about 4.04s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|redoubt|280375,Rejected,
R0186,188370,Consecration,addition,PALADIN,,activeMitigation,Protection 5748/74,5748,74,"only tank specs apply it, 100% self-applied, recast about 12.22s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|consecration|188370,Rejected,
R0193,327510,Shining Light,addition,PALADIN,,activeMitigation,Protection 2690/74,2690,74,"only tank specs apply it, 100% self-applied, recast about 29.61s → Active mitigation (rule R7).",medium,addition|activeMitigation|PALADIN|shining light|327510,Rejected,
R0189,224324,Shield Slam!,addition,WARRIOR,,activeMitigation,Protection 3944/16,3944,16,"only tank specs apply it, 100% self-applied, recast about 4.86s → Active mitigation (rule R7).",medium,addition|activeMitigation|WARRIOR|shield slam!|224324,Rejected,
R0204,1300681,Vengeful Shield,addition,WARRIOR,,activeMitigation,Protection 180/3,180,3,"only tank specs apply it, 100% self-applied, recast about 18.65s → Active mitigation (rule R7).",medium,addition|activeMitigation|WARRIOR|vengeful shield|1300681,Rejected,
R0065,207203,Frost Shield,addition,DEATHKNIGHT,,defensives,Blood 97915/69; Unholy 13846/72; Frost 5714/27,117475,165,100% self-applied and DB2 says it absorbs damage → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|frost shield|207203,Rejected,
R0069,440290,Rune Carved Plates,addition,DEATHKNIGHT,,defensives,Blood 15311/30; Frost 1411/24,16722,54,100% self-applied and DB2 says it reduces damage taken → Defensive cooldowns (rule R1).,high,addition|defensives|DEATHKNIGHT|rune carved plates|440290,Rejected,
